Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-02-25 08:00:06,Recurring Buy,USD,15.0,VET,526.6725,USD,15.0,15.0,recurring_buy_order,
2023-02-11 08:00:13,Recurring Buy,USD,15.0,VET,622.05,USD,15.0,15.0,recurring_buy_order,
2023-01-28 08:04:06,Recurring Buy,USD,15.0,VET,586.444444444444443858,USD,15.0,15.0,recurring_buy_order,
2023-01-20 03:21:11,Buy ONE,ONE,946.0,,,USD,15.51,15.51,crypto_purchase,
2023-01-14 08:00:20,Recurring Buy,USD,15.0,VET,675.9875,USD,15.0,15.0,recurring_buy_order,
2022-12-31 08:05:20,Recurring Buy,USD,15.0,VET,932.852716873212583413,USD,15.0,15.0,recurring_buy_order,
2022-12-17 08:01:16,Recurring Buy,USD,15.0,VET,848.857894736842104414,USD,15.0,15.0,recurring_buy_order,
2022-12-03 08:03:13,Recurring Buy,USD,15.0,VET,752.930769230769230016,USD,15.0,15.0,recurring_buy_order,
2022-11-19 08:02:20,Recurring Buy,USD,15.0,VET,764.7,USD,15.0,15.0,recurring_buy_order,
2022-11-12 07:12:18,Withdraw HBAR (Hedera Hashgraph),HBAR,-1500.0,,,USD,68.61765966000006333674027372377526,68.61765966000006333674027372377526,crypto_withdrawal,0.0.611791-1668237143-128000000
2022-11-12 06:48:33,Withdraw VET (VeChain),VET,-27212.2515166536,,,USD,544.24638387046524319474035011630724,544.24638387046524319474035011630724,crypto_withdrawal,0x9a5fffd7b20a0b051531ff38e1295140a742203998e3d5ba885c87619483a1d7
2022-11-08 21:42:54,Buy ONE,ONE,766.0,,,USD,13.49,13.49,crypto_purchase,
2022-11-08 21:42:02,Buy HBAR,HBAR,250.0,,,USD,13.14,13.14,crypto_purchase,
2022-11-08 21:40:49,Buy VET,VET,2100.0,,,USD,50.33,50.33,crypto_purchase,
2022-11-05 07:04:14,Recurring Buy,USD,15.0,VET,572.567647058823524068,USD,15.0,15.0,recurring_buy_order,
2022-10-30 16:38:08,Buy HBAR,HBAR,500.0,,,USD,31.4,31.4,crypto_purchase,
2022-10-30 16:36:49,Buy VET,VET,2000.0,,,USD,48.47,48.47,crypto_purchase,
2022-10-24 15:13:12,Buy HBAR,HBAR,250.0,,,USD,14.79,14.79,crypto_purchase,
2022-10-22 07:00:09,Recurring Buy,USD,15.0,VET,658.002808988764040206,USD,15.0,15.0,recurring_buy_order,
2022-10-07 02:43:39,Recurring Buy,USD,15.0,VET,631.481060606060609597,USD,15.0,15.0,recurring_buy_order,
2022-10-01 03:32:47,Buy VET,VET,1250.0,,,USD,29.59,29.59,crypto_purchase,
2022-10-01 03:31:46,Buy HBAR,HBAR,500.0,,,USD,29.3,29.3,crypto_purchase,
2022-09-23 23:20:17,Buy VET,VET,700.0,,,USD,16.7,16.7,crypto_purchase,
2022-09-15 20:46:04,Buy VET,VET,1300.0,,,USD,31.08,31.08,crypto_purchase,
2022-08-20 18:46:15,Buy VET,VET,1285.0,,,USD,33.85,33.85,crypto_purchase,
2022-08-12 03:30:37,Buy VET,VET,565.0,,,USD,19.05,19.05,crypto_purchase,
2022-08-06 04:27:06,Buy VET,VET,1000.0,,,USD,32.18,32.18,crypto_purchase,
2022-07-08 10:55:15,Buy ONE,ONE,1000.0,,,USD,19.18,19.18,crypto_purchase,
2022-06-18 22:31:50,Buy VET,VET,1250.0,,,USD,28.19,28.19,crypto_purchase,
2022-06-15 15:38:57,Buy VET,VET,500.0,,,USD,11.71,11.71,crypto_purchase,
2022-06-09 18:01:43,Buy VET,VET,1500.0,,,USD,50.47,50.47,crypto_purchase,
2022-05-27 17:58:00,Buy VET,VET,2000.0,,,USD,58.48,58.48,crypto_purchase,
2022-05-25 03:59:00,Buy ONE,ONE,1000.0,,,USD,48.69,48.69,crypto_purchase,
2022-04-20 00:39:03,Buy VET,VET,1210.0,,,USD,74.93,74.93,crypto_purchase,
2022-03-07 16:03:33,Buy VET,VET,1000.0,,,USD,48.9,48.9,crypto_purchase,
2022-02-23 17:01:41,Buy VET,VET,950.0,,,USD,47.17,47.17,crypto_purchase,
2022-02-11 01:41:51,USDC -> VET,USDC,-46.717389,VET,734.7,USD,46.717389,46.717389,crypto_exchange,
2022-02-11 01:40:49,AUDIO -> USDC,AUDIO,-39.37,USDC,46.858529,USD,46.858529,46.858529,crypto_exchange,
2022-02-06 04:05:03,Buy VET,VET,1000.0,,,USD,60.74,60.74,crypto_purchase,
2022-01-23 02:34:25,Buy ONE,ONE,150.0,,,USD,29.62,29.62,crypto_purchase,
2022-01-23 02:33:41,Buy VET,VET,1400.0,,,USD,74.08,74.08,crypto_purchase,
2022-01-14 16:33:48,Buy VET,VET,300.0,,,USD,23.74,23.74,crypto_purchase,
2022-01-09 17:46:44,Buy VET,VET,620.0,,,USD,48.69,48.69,crypto_purchase,
2021-10-15 05:14:07,Buy VET,VET,700.0,,,USD,83.39,83.39,crypto_purchase,
2021-09-17 20:34:51,Buy VET,VET,450.0,,,USD,51.24,51.24,crypto_purchase,
2021-08-27 15:53:31,USDC -> AUDIO,USDC,-34.462556,AUDIO,13.63,USD,34.462556,34.462556,crypto_exchange,
2021-08-27 15:52:49,USDC -> VET,USDC,-50.0,VET,404.5,USD,50.0,50.0,crypto_exchange,
2021-08-17 04:13:35,AUDIO -> USDC,AUDIO,-25.0,USDC,84.462504,USD,84.462504,84.462504,crypto_exchange,
2021-08-13 16:32:17,Buy VET,VET,130.0,,,USD,14.95,14.95,crypto_purchase,
2021-07-23 15:58:57,Buy ONE,ONE,150.0,,,USD,9.88,9.88,crypto_purchase,
2021-07-16 18:04:08,Buy VET,VET,200.0,,,USD,13.85,13.85,crypto_purchase,
2021-06-15 05:07:01,Buy VET,VET,100.0,,,USD,11.57,11.57,crypto_purchase,
2021-06-06 14:28:37,Buy ONE,ONE,150.0,,,USD,14.25,14.25,crypto_purchase,
2021-05-08 17:54:56,Buy AUDIO,AUDIO,25.0,,,USD,55.99,55.99,crypto_purchase,
2021-05-08 17:17:56,USDC -> AUDIO,USDC,-57.844562,AUDIO,25.7413,USD,57.844562,57.844562,crypto_exchange,
2021-05-08 07:25:23,USDC -> ONE,USDC,-19.958657,ONE,150.0,USD,19.958657,19.958657,crypto_exchange,
2021-05-08 07:24:25,USDC -> VET,USDC,-18.229058,VET,80.0,USD,18.229058,18.229058,crypto_exchange,
2021-05-08 07:20:50,DOGE -> USDC,DOGE,-139.5,USDC,95.899303,USD,95.899303,95.899303,crypto_exchange,
2021-05-07 04:06:12,USDC -> ONE,USDC,-5.881614,ONE,46.0,USD,5.881614,5.881614,crypto_exchange,
2021-05-07 04:05:22,DOGE -> USDC,DOGE,-10.5,USDC,5.931433,USD,5.931433,5.931433,crypto_exchange,
2021-05-05 00:46:17,Adjustment (Credit),USDC,0.083207,,,USD,0.083207,0.083207,admin_wallet_credited,
2021-05-05 00:46:17,Adjustment (Debit),USDM,-0.083207,,,USD,0.083207,0.083207,admin_wallet_debited,
2021-05-02 19:44:22,Buy VET,VET,220.0,,,USD,49.21,49.21,crypto_purchase,
2021-05-02 15:40:34,Buy DOGE,DOGE,150.0,,,USD,58.44,58.44,crypto_purchase,
2021-05-02 03:33:32,Buy ONE,ONE,200.0,,,USD,28.99,28.99,crypto_purchase,
2021-04-30 04:09:11,Buy VET,VET,120.0,,,USD,23.03,23.03,crypto_purchase,
2021-04-30 04:07:05,Buy ONE,ONE,150.0,,,USD,21.14,21.14,crypto_purchase,
2021-04-17 05:17:12,USDC -> ONE,USDC,-44.383706,ONE,292.0,USD,44.383706,44.383706,crypto_exchange,
2021-04-16 23:34:16,VET -> USDC,VET,-200.0,USDC,44.383706,USD,44.383706,44.383706,crypto_exchange,
2021-04-13 01:26:39,USDM -> VET,USDM,-64.983553,VET,481.0,USD,64.983553,64.983553,crypto_exchange,
2021-04-13 01:22:38,ADA -> USDM,ADA,-50.0,USDM,65.06676,USD,65.06676,65.06676,crypto_exchange,
2021-04-01 00:17:40,Withdraw ADA,ADA,-250.0,,,USD,295.11,295.11,crypto_withdrawal,22fe42c5a00a3aa540cf11ab2a0f6a35fcaf0129442d2826a70daf4ab4cfa606
2021-03-14 08:27:35,Withdraw BTC,BTC,-0.00350142,,,USD,211.66,211.66,crypto_withdrawal,3d6cf747d79074254f9ab02f66f246129b16c7ae14bcb6d1321080f48ee87e84
2021-03-12 17:30:42,Buy ADA,ADA,100.0,,,USD,107.33,107.33,crypto_purchase,
2021-03-12 08:18:55,Buy ADA,ADA,70.0,,,USD,76.89,76.89,crypto_purchase,
2021-03-10 02:30:23,CRO -> BTC,CRO,-400.0,BTC,0.00120142,USD,64.62,64.62,crypto_exchange,
2021-03-07 22:56:38,Buy CRO,CRO,200.0,,,USD,31.62,31.62,crypto_purchase,
2021-03-07 22:55:32,Buy ADA,ADA,30.0,,,USD,34.21,34.21,crypto_purchase,
2021-03-07 22:53:35,Buy BTC,BTC,0.0023,,,USD,116.89,116.89,crypto_purchase,
2021-03-04 04:16:36,Buy ADA,ADA,100.0,,,USD,121.59,121.59,crypto_purchase,
2021-03-04 04:08:23,Buy CRO,CRO,200.0,,,USD,30.67,30.67,crypto_purchase,
