ticker,sector,cml_units,cml_cost,gain_loss,cashflow,price,current_value,avg_price,portf_weight,unrealizedval,unrealizedpct
ADA,dpos,0.0,0.0,0.0,-32554.1,0.44,0.0,,0.0,0.0,
AUDIO,music,0.0,0.0,-2111.5,-5356.13,0.35,0.0,,0.0,0.0,
BTC,mineable,0.0,0.0,0.0,0.0,30426.9,0.0,,0.0,0.0,
CRO,medium-of-exchange,0.0,0.0,0.0,-38306.0,0.07,0.0,,0.0,0.0,
DOGE,mineable,0.0,0.0,-62.26,-22206.31,0.09,0.0,,0.0,0.0,
ONE,platform,946.0,14672.46,0.0,-109907.3,1.0,946.04,15.51,99.37,-13726.42,-93.55
USDC,medium-of-exchange,0.0,0.0,-9767.84,-11950.6,,,,,,
VET,logistics,2100.0,105693.0,-8876.0,-1107818.4,,,50.33,,,
HBAR,,250.0,3285.0,0.0,-37332.5,0.02,5.65,13.14,0.59,-3279.35,-99.83
USD,,15.0,225.0,0.0,-2475.0,0.03,0.38,15.0,0.04,-224.62,-99.83
USDM,,0.0,0.0,0.0,-4222.4,,,,,,
